iter	Passed	Remaining
0	1	140
1	2	111
2	3	101
3	3	95
4	5	98
5	6	95
6	7	94
7	8	93
8	9	93
9	10	91
10	11	92
11	12	93
12	13	92
13	15	93
14	16	93
15	17	92
16	18	91
17	19	88
18	20	86
19	21	86
20	22	85
21	23	84
22	24	82
23	25	81
24	26	80
25	27	78
26	28	76
27	29	75
28	30	74
29	31	72
30	32	71
31	33	70
32	34	69
33	34	67
34	35	66
35	36	65
36	37	64
37	39	64
38	40	63
39	41	61
40	42	60
41	42	59
42	43	58
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	44
56	58	44
57	59	43
58	60	41
59	61	40
60	62	39
61	63	38
62	64	38
63	65	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	74	30
71	74	29
72	75	28
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	99	2
98	100	1
99	101	0
