iter	Passed	Remaining
0	171	171721
1	173	86471
2	174	58029
3	175	43803
4	177	35273
5	178	29640
6	180	25594
7	182	22577
8	183	20187
9	184	18266
10	185	16707
11	187	15413
12	188	14322
13	190	13386
14	192	12616
15	193	11916
16	195	11308
17	197	10757
18	198	10257
19	200	9803
20	201	9385
21	202	9007
22	204	8682
23	206	8399
24	209	8162
25	211	7916
26	212	7663
27	214	7430
28	215	7211
29	216	7006
30	218	6816
31	219	6641
32	221	6490
33	222	6331
34	224	6179
35	225	6036
36	226	5900
37	228	5773
38	229	5659
39	231	5546
40	232	5440
41	234	5349
42	236	5253
43	237	5157
44	238	5066
45	240	4978
46	241	4891
47	242	4810
48	243	4733
49	245	4661
50	247	4596
51	248	4535
52	250	4474
53	251	4410
54	253	4348
55	254	4292
56	256	4237
57	257	4185
58	259	4132
59	260	4081
60	261	4031
61	263	3984
62	265	3944
63	266	3904
64	268	3859
65	269	3816
66	270	3773
67	272	3732
68	274	3702
69	276	3672
70	278	3643
71	280	3609
72	281	3574
73	282	3539
74	284	3504
75	285	3470
76	286	3437
77	288	3407
78	289	3375
79	293	3375
80	295	3347
81	296	3318
82	296	3281
83	299	3267
84	300	3238
85	302	3210
86	303	3182
87	304	3156
88	306	3138
89	307	3113
90	309	3091
91	310	3067
92	312	3045
93	313	3021
94	315	3001
95	316	2980
96	317	2958
97	319	2936
98	320	2919
99	322	2900
100	323	2880
101	324	2860
102	326	2845
103	329	2835
104	330	2816
105	331	2798
106	333	2781
107	334	2765
108	336	2754
109	338	2739
110	340	2730
111	342	2718
112	344	2706
113	346	2691
114	347	2675
115	349	2660
116	350	2644
117	352	2633
118	353	2619
119	355	2607
120	357	2597
121	359	2586
122	361	2576
123	364	2571
124	368	2577
125	371	2574
126	373	2565
127	375	2557
128	376	2544
129	379	2536
130	380	2524
131	382	2516
132	384	2505
133	386	2494
134	387	2484
135	389	2472
136	390	2460
137	391	2447
138	393	2439
139	397	2444
140	399	2431
141	399	2416
142	401	2404
143	402	2392
144	403	2379
145	404	2368
146	406	2356
147	407	2347
148	409	2338
149	410	2327
150	411	2316
151	413	2305
152	414	2293
153	415	2283
154	416	2273
155	418	2262
156	419	2251
157	420	2241
158	423	2237
159	424	2228
160	425	2216
161	426	2205
162	427	2195
163	428	2185
164	429	2175
165	431	2166
166	432	2157
167	433	2148
168	434	2137
169	436	2132
170	438	2123
171	439	2115
172	440	2106
173	441	2096
174	442	2087
175	444	2080
176	445	2072
177	446	2063
178	448	2055
179	449	2047
180	452	2046
181	453	2038
182	454	2030
183	456	2023
184	457	2015
185	458	2006
186	459	1998
187	461	1991
188	462	1983
189	463	1975
190	465	1970
191	466	1963
192	467	1956
193	469	1949
194	470	1942
195	471	1934
196	472	1927
197	474	1921
198	475	1914
199	477	1908
200	478	1901
201	479	1895
202	481	1889
203	482	1884
204	484	1877
205	485	1870
206	486	1863
207	487	1857
208	488	1850
209	490	1843
210	491	1838
211	492	1831
212	494	1826
213	495	1821
214	497	1814
215	498	1808
216	499	1801
217	500	1795
218	501	1789
219	503	1784
220	504	1779
221	506	1773
222	507	1768
223	509	1764
224	510	1759
225	512	1754
226	514	1751
227	515	1745
228	516	1739
229	518	1734
230	519	1728
231	520	1722
232	522	1718
233	523	1713
234	525	1709
235	526	1705
236	528	1700
237	529	1694
238	530	1689
239	531	1683
240	533	1678
241	534	1673
242	535	1668
243	537	1663
244	538	1659
245	540	1655
246	541	1650
247	544	1649
248	546	1648
249	548	1644
250	549	1640
251	551	1635
252	552	1631
253	553	1627
254	555	1621
255	556	1617
256	557	1612
257	558	1607
258	560	1603
259	561	1599
260	563	1594
261	564	1589
262	566	1586
263	567	1583
264	569	1578
265	570	1573
266	571	1568
267	572	1564
268	573	1559
269	574	1554
270	577	1552
271	579	1549
272	580	1545
273	583	1546
274	585	1543
275	587	1540
276	588	1535
277	589	1531
278	591	1527
279	592	1524
280	595	1524
281	597	1521
282	599	1517
283	600	1514
284	602	1510
285	603	1506
286	604	1502
287	606	1499
288	608	1497
289	610	1495
290	613	1495
291	615	1491
292	616	1487
293	618	1485
294	619	1481
295	621	1477
296	622	1473
297	624	1470
298	626	1467
299	628	1465
300	629	1461
301	631	1459
302	633	1457
303	634	1453
304	636	1449
305	637	1446
306	639	1442
307	641	1441
308	643	1438
309	645	1436
310	647	1433
311	648	1430
312	650	1426
313	651	1422
314	652	1419
315	656	1421
316	658	1418
317	659	1414
318	660	1410
319	662	1406
320	663	1402
321	664	1399
322	666	1396
323	667	1392
324	669	1390
325	671	1387
326	672	1384
327	674	1381
328	675	1377
329	676	1373
330	677	1369
331	678	1365
332	680	1362
333	681	1359
334	683	1357
335	685	1354
336	686	1351
337	688	1347
338	689	1343
339	690	1340
340	691	1337
341	693	1333
342	694	1330
343	695	1327
344	698	1326
345	700	1323
346	701	1320
347	702	1316
348	703	1313
349	705	1309
350	708	1310
351	710	1307
352	711	1304
353	713	1301
354	714	1298
355	715	1295
356	717	1291
357	718	1288
358	719	1285
359	721	1281
360	722	1279
361	724	1276
362	725	1273
363	727	1271
364	729	1269
365	730	1266
366	732	1263
367	733	1259
368	734	1256
369	736	1253
370	737	1250
371	738	1247
372	740	1244
373	741	1241
374	745	1242
375	746	1239
376	747	1235
377	749	1232
378	750	1229
379	751	1226
380	752	1223
381	754	1219
382	755	1216
383	757	1214
384	758	1211
385	760	1209
386	761	1205
387	762	1202
388	763	1199
389	764	1196
390	765	1192
391	766	1189
392	768	1186
393	769	1182
394	770	1179
395	771	1177
396	773	1174
397	774	1171
398	775	1168
399	777	1165
400	778	1162
401	779	1159
402	781	1156
403	782	1154
404	783	1151
405	785	1148
406	786	1146
407	788	1144
408	789	1141
409	791	1138
410	792	1136
411	794	1133
412	795	1130
413	796	1127
414	797	1124
415	799	1122
416	801	1120
417	802	1117
418	804	1115
419	805	1112
420	806	1109
421	808	1107
422	809	1104
423	810	1101
424	811	1098
425	813	1096
426	815	1093
427	817	1091
428	818	1089
429	819	1086
430	821	1084
431	822	1081
432	823	1078
433	825	1076
434	826	1073
435	828	1072
436	830	1069
437	833	1069
438	834	1066
439	835	1063
440	837	1061
441	838	1058
442	840	1056
443	842	1055
444	844	1053
445	846	1051
446	847	1048
447	848	1045
448	850	1043
449	851	1040
450	852	1038
451	854	1035
452	855	1033
453	857	1031
454	859	1029
455	860	1026
456	861	1023
457	862	1021
458	864	1018
459	865	1015
460	866	1013
461	867	1010
462	869	1008
463	870	1005
464	872	1004
465	875	1002
466	876	1000
467	877	997
468	878	994
469	880	992
470	881	989
471	882	987
472	885	986
473	887	984
474	888	982
475	890	980
476	891	977
477	893	976
478	895	973
479	896	971
480	898	969
481	899	966
482	901	964
483	902	962
484	904	960
485	905	957
486	907	955
487	908	952
488	909	950
489	910	948
490	912	945
491	913	943
492	916	942
493	918	940
494	919	938
495	921	936
496	922	933
497	924	931
498	925	929
499	927	927
500	928	924
501	930	923
502	931	920
503	932	918
504	934	915
505	935	913
506	936	911
507	938	908
508	940	907
509	942	905
510	943	902
511	945	901
512	947	899
513	948	897
514	950	894
515	951	892
516	953	890
517	954	888
518	955	885
519	957	883
520	958	881
521	960	879
522	962	878
523	964	875
524	966	874
525	967	872
526	969	869
527	970	867
528	971	865
529	973	863
530	975	861
531	977	859
532	978	857
533	980	855
534	981	853
535	982	850
536	984	848
537	985	846
538	987	844
539	989	842
540	991	840
541	992	838
